{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(3., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(2., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(4., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(8., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(10., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(2., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(6., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(4., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(0., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(8., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(3., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(4., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(10., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(4., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(6., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(0., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(4., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(0., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(9., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(0., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(0., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(10., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(9., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(8., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(2., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(7., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(16., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(9., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(10., dtype=float32), 'wer_denom': array(1., dtype=float32)}
{'wer_num': array(5., dtype=float32), 'wer_denom': array(1., dtype=float32)}
